,Product_Name,Price,Description,Image_URL,Product_Link
20,Cargo Trousers,"179,90 EUR","  – Cut for a loose fit
    – Mid rise
    – Belt loops
    – Functional pockets
    – Wide leg
    – Cargo style
    – 97% cotton – 3% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3105b1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105b2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105b3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105b4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105b5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105b6.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105b.jpg']",https://www.esthe.co.uk/product/cargo-trousers-black/
21,Cargo Trousers,"179,90 EUR","  – Cut for a loose fit
    – Mid rise
    – Belt loops
    – Functional pockets
    – Wide leg
    – Cargo style
    – 97% cotton – 3% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3105a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3105a.jpg']",https://www.esthe.co.uk/product/cargo-trousers-almond-milk/
22,Contrast Pleated Bralette,"46,90 EUR","  – Adjustable straps
    – Elasticated band
    – Pleated
    – 3 rows of back fastening hooks for added support
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3146a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3146a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3146a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3146a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3146a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3146a.jpg']",https://www.esthe.co.uk/product/contrast-pleated-bralette-black/
23,Contrast Pleated Sheer Top,"99,90 EUR","  – True to size
    – Adjustable channeled gathering
    – Semi-sheer
    – Pleated
    – 95% polyester – 5% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3089a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3089a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3089a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3089a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3089a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3089a6.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3089a.jpg']",https://www.esthe.co.uk/product/contrast-pleated-sheer-top-black/
24,Cotton Volume Sleeve Mini Dress,"209,90 EUR","  – Relaxed fit
    – Lightweight non-stretch cotton fabric
    – Adjustable channelled gathering at sleeves and dress
    – Zip fastening at back
    – 100% cotton
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/132-8021b1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/132-8021b2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/132-8021b3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/132-8021b4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/132-8021b5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/132-8021b.jpg']",https://www.esthe.co.uk/product/cotton-volume-sleeve-mini-dress-black/
25,Cropped Blazer,"199,90 EUR","  – Notch lapels
    – Single-breasted style
    – Single button fastening
    – Cropped length
    – Slightly oversized fit
    – Fully lined
    – 97% cotton – 3% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3141a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3141a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3141a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3141a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3141a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3141a6.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3141a.jpg']",https://www.esthe.co.uk/product/cropped-blazer-black/
26,Cropped Pleated Shirt,"139,90 EUR","  – Pointed collar
    – Designed for a boxy fit with a cropped length
    – Semi-stretched fabric
    – Pleated
    – 65% polyester – 35% cotton
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32661.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32662.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32663.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32664.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3266.jpg']",https://www.esthe.co.uk/product/cropped-pleated-shirt-black/
27,Cut-Out Jumper,"129,90 EUR","  – Fit slightly relaxed at top and fitted at waist
    – Cut-out opening at waist with adjustable channelled gathering
    – Ribbing at neckline and cuffs
    – Sustainable/Responsible
    – 100% organic cotton
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3155b1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155b2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155b3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155b4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155b5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155b6.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155b.jpg']",https://www.esthe.co.uk/product/cut-out-jumper-chocolate-brown/
28,Cut-Out Jumper,"129,90 EUR","  – Fit slightly relaxed at top and fitted at waist
    – Cut-out opening at waist with adjustable channelled gathering
    – Ribbing at neckline and cuffs
    – Sustainable/Responsible
    – 100% organic cotton
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3155a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155a6.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3155a.jpg']",https://www.esthe.co.uk/product/cut-out-jumper-almond-milk/
29,Cut-Out Organza Jumper,"129,90 EUR 89,90 EUR","  – Fit slightly relaxed at top and fitted at waist
    – Cut-out opening at waist with adjustable channelled gathering
    – Ribbing at neckline and cuffs
    – Sheer
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3154a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3154a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3154a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3154a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3154a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3154a.jpg']",https://www.esthe.co.uk/product/cut-out-organza-jumper-black/
